round,num_selected_clients,val_species_acc_top1,val_species_f1_macro,val_genus_acc_top1,val_family_acc_top1
1,10,0.9682425978987583,0.012955023226391827,0.1361031518624642,0.25620821394460364
2,10,0.9684813753581661,0.017781771998639468,0.3526743075453677,0.45367717287488063
3,10,0.9689589302769819,0.03187645768539202,0.4777936962750716,0.565425023877746
4,10,0.970152817574021,0.04704364155717484,0.5470391595033429,0.623447946513849
5,10,0.9713467048710601,0.0696565934065934,0.5983763132760267,0.6528175740210124
6,10,0.9718242597898759,0.07750494199070437,0.6351480420248329,0.6872015281757402
7,10,0.9725405921680993,0.09790953568005425,0.6614135625596944,0.7067812798471824
8,10,0.9713467048710601,0.07951756233293723,0.6743075453677173,0.7227793696275072
9,10,0.9720630372492837,0.09586108922550815,0.694603629417383,0.7342406876790831
10,10,0.9720630372492837,0.10441450473602411,0.707258834765998,0.7459407831900668
